AuthorID,Author,Date,Content,Attachments,Reactions
"687371829580660771","zflam","2021-11-09T16:43:21.0120000-05:00","As requested","",""
"505056710239715357","sameerskapur","2021-11-09T16:43:47.0700000-05:00","thank u boss","",""
"505056710239715357","sameerskapur","2021-11-09T16:44:03.0110000-05:00","let’s do a twitter drop","",""
"505056710239715357","sameerskapur","2021-11-09T16:44:05.2830000-05:00","https://twitter.com/sameerskapur","",""
"687371829580660771","zflam","2021-11-09T16:45:48.9010000-05:00","https://twitter.com/ianlam1","",""
"902554008374378566","zmel2892","2021-11-09T16:46:54.5140000-05:00","https://Twitter.com/zachmelloh26","",""
"687371829580660771","zflam","2021-11-09T16:57:53.8940000-05:00","https://twitter.com/BoilerChain","",""
"586600174768488467","uel2846","2021-11-09T18:33:50.9320000-05:00","just gave everybody a follow 👍🏾","",""
"837074430525046896","mlitz_42","2021-11-09T18:36:40.7700000-05:00","https://twitter.com/max_moncaster","",""
"299804796893003777","xtreme_ch","2021-11-09T22:26:33.4840000-05:00","https://twitter.com/kch0e","",""
"159985870458322944","MEE6#4876","2021-11-09T22:26:33.7910000-05:00","GG @Kevin Choe, you just advanced to level 1!","",""
"728072904142487584","ng6481","2021-11-10T14:48:20.0290000-05:00","https://twitter.com/ngaurav38","",""
"419933226287497216","nolimit36","2021-11-10T14:56:00.1960000-05:00","https://twitter.com/achintya__p","",""
"505056710239715357","sameerskapur","2021-11-23T12:18:23.6990000-05:00","https://twitter.com/Cooopahtroopa/status/1462994664215105543?s=20","",""
"505056710239715357","sameerskapur","2021-11-23T12:18:27.6800000-05:00","good thead","",""
"505056710239715357","sameerskapur","2021-11-23T12:18:30.7830000-05:00","thread","",""
"837074430525046896","mlitz_42","2021-12-16T12:07:52.3960000-05:00","A little levity https://twitter.com/lilmoonlambo/status/1471414312963125251?s=21","",""
"516008170897014785","saturn0134","2021-12-22T13:13:35.1040000-05:00","https://twitter.com/TheMattFarrow","",""
"700569741865254933","topang0x","2022-01-10T14:18:00.8220000-05:00","https://twitter.com/ppathole/status/1480358823588106241?s=12
Not blockchain related… but pretty incredible","",""
"700569741865254933","topang0x","2022-01-13T00:07:17.3360000-05:00","https://twitter.com/joey__santoro/status/1481364987129917444?s=12. 

crazy!!","",""
"700569741865254933","topang0x","2022-01-15T20:08:06.9950000-05:00","Notes ok different L1s very interesting! 
https://twitter.com/cmsintern/status/1482171812259708932?s=12","",""
"837074430525046896","mlitz_42","2022-01-16T11:42:03.5760000-05:00","Interesting thread. Def points to a multichain world in our future. Seems kind of inevitable given the sheer number of users aiming to be brought on board.","",""
"700569741865254933","topang0x","2022-01-16T16:24:51.6890000-05:00","Yeah! Cross-chain also going to explode this year... Amazing times to be in web3","",""
"837074430525046896","mlitz_42","2022-01-17T14:51:43.6130000-05:00","This story is wild: https://twitter.com/globeandmail/status/1483147260460507138?s=20","",""
"837074430525046896","mlitz_42","2022-01-17T14:51:58.6890000-05:00","Had never heard of Quadriga before","",""
"700569741865254933","topang0x","2022-01-17T18:08:44.7520000-05:00","Hahaha lmao","",""
"700569741865254933","topang0x","2022-01-17T18:08:53.6960000-05:00","I think its better that way lol","",""
"837074430525046896","mlitz_42","2022-01-21T21:45:59.2590000-05:00","https://twitter.com/aniketpkate/status/1484305077045276674","","🔥 (1)"
"700569741865254933","topang0x","2022-02-02T00:28:35.9330000-05:00","https://twitter.com/molson_hart/status/1488701353253875714?s=12","",""
"700569741865254933","topang0x","2022-02-02T00:33:27.7330000-05:00","What happens in this case? Bitcoin fork between US and non-US miners? Ban and refusal? Someone bailing out?","",""
"837074430525046896","mlitz_42","2022-02-02T12:52:54.0100000-05:00","https://twitter.com/dabit3/status/1488647294111125521?s=20&t=BAUtCKePvxhoS4EroESSIg","","🔥 (1)"
"837074430525046896","mlitz_42","2022-02-02T12:53:47.2310000-05:00","Epic thread - great opps. Maybe we can investigate as part of our #deleted-channel projects!","",""
"700569741865254933","topang0x","2022-02-02T15:56:36.8110000-05:00","Yup! Saw this... time to BUIDL I guess","",""
"570042611734282261","alnamkani","2022-02-02T21:02:56.8240000-05:00","https://twitter.com/shaanvp/status/1488964528691838976?s=21

Cool thread, and there is an excel sheet people can play with","","☝️ (1)"
"516008170897014785","saturn0134","2022-02-09T17:46:56.8320000-05:00","https://twitter.com/NFTGodMatt","",""
